the,start
company,""""
has,""""
been,""""
manufacturing,'
carpet,""""
since,'
1967,.
.,.
recently,""""
it,RB
upgraded,""""
its,""""
plants,""""
so,""""
that,""""
it,RB
could,""""
make,'
stain-resistant,""""
products,""""
with,""""
higher,""""
quality,PRP
dyes,.
.,.
for,""""
the,""""
past,""""
year,""""
or,""""
two,VBN
",",","
the,""""
carpet,""""
division,""""
's,""""
operating,""""
profit,""""
margins,""""
have,'
hovered,""""
around,""""
5,""""
%,VBN
",",","
high,""""
by,""""
industry,""""
standards,VBN
",",","
but,'
disappointing,""""
compared,""""
with,""""
the,""""
13,""""
%,VBN
to,""""
19,""""
%,VBN
margins,""""
for,""""
two,VBN
of,'
armstrong,""""
's,""""
chief,""""
businesses,VBN
",",","
flooring,""""
and,""""
building,""""
products,.
.,.
analysts,start
hailed,""""
the,""""
planned,""""
transaction,""""
as,""""
being,""""
beneficial,""""
to,'
armstrong,""""
and,""""
shaw,NNS
",",","
the,""""
market,""""
leader,""""
in,""""
the,""""
u.s.,""""
carpet,""""
industry,NNS
",",","
with,""""
an,""""
estimated,""""
17,""""
%,""""
to,'
20,""""
%,""""
share,.
.,.
shaw,""""
",",","
based,""""
in,'
dalton,""""
",",","
ga.,""""
",",","
has,""""
annual,""""
sales,""""
of,""""
about,WDT
$,$
1.18,""""
billion,""""
",",","
and,""""
has,""""
economies,""""
of,""""
scale,""""
and,""""
lower,""""
raw-material,""""
costs,""""
that,""""
are,""""
expected,""""
to,""""
boost,""""
the,'
profitability,""""
of,""""
armstrong,""""
's,""""
brands,""""
",",","
sold,""""
under,""""
the,'
armstrong,""""
and,""""
evans-black,NN
names,.
.,.
yesterday,'
",",","
in,""""
composite,""""
trading,""""
on,""""
the,""""
new,""""
york,""""
stock,""""
exchange,'
",",","
shaw,""""
's,""""
shares,""""
closed,'
ex-dividend,""""
at,""""
$,$
26.125,'
",",","
up,""""
$,$
2.25,.
.,.
armstrong,start
's,""""
shares,'
",",","
also,""""
listed,""""
on,""""
the,""""
big,""""
board,'
",",","
closed,""""
at,WDT
$,$
39.125,'
",",","
up,""""
12.5,""""
cents,.
.,.
yesterday,VBN
",",","
armstrong,""""
reported,""""
flat,""""
earnings,""""
for,""""
the,""""
third,""""
quarter,""""
and,""""
nine,""""
months,VBN
",",","
worsened,""""
by,""""
the,""""
stock,""""
dilution,""""
of,""""
an,'
employee,""""
stock,""""
ownership,""""
plan,""""
adopted,""""
earlier,""""
this,""""
year,.
.,.
for,start
the,""""
quarter,NNS
",",","
earnings,""""
were,WDT
$,$
47,""""
million,NNS
",",","
or,'
92,""""
cents,""""
a,""""
share,NNS
",",","
including,""""
a,""""
one-time,""""
gain,""""
of,WDT
$,$
5.9,""""
million,NNS
.,.
in,start
the,IN
year-ago,""""
quarter,NNP
",",","
earnings,""""
were,'
$,$
42.9,""""
million,NNP
",",","
or,'
93,""""
cents,""""
a,""""
share,.
.,.
yesterday,NNS
",",","
armstrong,""""
announced,""""
an,""""
agreement,""""
to,""""
sell,""""
its,""""
small,""""
applied,RBR
color,""""
systems,""""
unit,""""
to,""""
a,""""
subsidiary,""""
of,""""
the,'
swiss,""""
company,NNS
